reato tortura*-0.42
reato tortura*0.0
procedere all'esame*0.0
vengono tutelate*-3.5
sistema finanziario*-5.96
testo esame,*-3.77
tema generale*-4.82
all'interno sistema*-3.36
soggetti interessati*-4.09
discussione provvedimento*-3.5
sistema imprenditoriale*-6.55
che, pur*-5.31
imprese interessate*-6.79
strumento decreto-legge*-4.41
stato detto,*-5.09
imprese fornitrici*-6.79
v commissione*-4.09
mettere repentaglio*-4.24
già stato*-4.09
crisi grandi*-5.58
fondi stanziati*-6.39
ampliamo platea*-4.0
far fronte*-4.0
imprese trasporto*-7.17
n. 662*-5.91
l'articolo aggiuntivo*-4.58
salvaguardare bilancio*-2.78
espresso parere*-3.58
tali questioni*-4.58
tetto spesa,*-5.58
commissione bilancio,*-4.07
fondo garanzia,*-4.58
trasporto collegate*-4.58
decreto-legge n.*-4.85
ciò significa*-5.17
momento ampliamo*-5.17
bilancio stato*-6.39
n. 347*-5.91
legge n.*-3.85
commissione bilancio*-4.58
decreto-legge esame*-5.17
platea soggetti*-5.17
proposte emendative*-3.17
verso marchio*-2.58
alcune proposte*-2.58
imprese agricole*-4.58
maggiori certezze*-3.17
consumatori verso*-2.58
emendamenti marcora*1.32
marcora 1.1*-2.32
1.1 gambini*-1.74
emendamenti marcora*-2.32
identici emendamenti*-2.32
mediante procedimento*-2.32
già esistenti*-1.0
sezioni specializzate,*-2.32
